Entidad,Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,mean_ann,std_ann,max_ann,min_ann,sum_all,trend_slope,mean_last3,growth_last,cluster,risk_zone
CHIAPAS,JIQUIPILAS,2.0,13.0,5.0,11.0,10.0,10.0,4.0,5.0,8.0,24.0,0.0,8.363636363636363,6.256236557849183,24.0,0.0,130.61987292148552,0.22727272727272727,10.666666666666666,0.0,0,2
CHIAPAS,JITOTOL,5.0,0.0,3.0,4.0,5.0,0.0,3.0,5.0,6.0,3.0,0.0,3.090909090909091,2.108620637226037,6.0,0.0,45.19952972813513,-0.03636363636363643,3.0,0.0,0,2
CHIAPAS,JUAREZ,9.0,24.0,11.0,5.0,10.0,5.0,3.0,4.0,12.0,52.0,4.0,12.636363636363637,13.686574226211128,52.0,3.0,220.32293786257475,0.7363636363636366,22.666666666666668,0.1764705882352941,0,2
CHIAPAS,LA CONCORDIA,5.0,0.0,6.0,3.0,7.0,7.0,6.0,1.0,4.0,8.0,2.0,4.454545454545454,2.535695578360246,8.0,0.0,63.9902410329057,0.05454545454545457,4.666666666666667,0.42857142857142855,0,2
CHIAPAS,LA GRANDEZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09090909090909091,0.28747978728803447,1.0,0.0,2.3783888781971254,0.036363636363636376,0.3333333333333333,0.0,0,2
CHIAPAS,LA INDEPENDENCIA,2.0,3.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,1.348399724926484,4.0,0.0,29.348399724926484,-0.10000000000000003,1.6666666666666667,2.4,3,1
CHIAPAS,LA LIBERTAD,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.1281521496355325,3.0,0.0,16.128152149635532,0.02727272727272727,1.3333333333333333,0.0,0,2
CHIAPAS,LA TRINITARIA,5.0,10.0,7.0,8.0,8.0,8.0,5.0,13.0,5.0,10.0,7.0,7.818181818181818,2.3671302847802793,13.0,2.3671302847802793,111.55244238774236,0.09999999999999999,7.333333333333333,0.9545454545454546,0,2
CHIAPAS,LARRAINZAR,2.0,0.0,2.0,0.0,3.0,1.0,6.0,4.0,0.0,1.0,1.0,1.8181818181818181,1.7999081702930302,6.0,0.0,29.618089988474846,0.0363636363636364,0.6666666666666666,1.5,3,1
CHIAPAS,LAS MARGARITAS,10.0,17.0,28.0,19.0,15.0,20.0,17.0,9.0,12.0,10.0,10.0,15.181818181818182,5.540235994615488,28.0,5.540235994615488,221.2622901710492,-0.8545454545454549,10.666666666666666,0.9375,0,2
CHIAPAS,LAS ROSAS,0.0,3.0,11.0,9.0,9.0,7.0,1.0,2.0,1.0,1.0,1.0,4.090909090909091,3.871916261644883,11.0,0.0,63.96282535255398,-0.5000000000000002,1.0,1.0,0,2
CHIAPAS,MAPASTEPEC,34.0,29.0,59.0,60.0,81.0,50.0,52.0,40.0,18.0,48.0,23.0,44.90909090909091,17.619485832218132,81.0,17.619485832218132,655.1480625735272,-1.5545454545454551,29.666666666666668,0.7752808988764045,0,2
CHIAPAS,MARAVILLA TENEJAPA,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.45454545454545453,0.7820295697311479,2.0,0.0,8.236575024276602,-0.04545454545454549,0.6666666666666666,0.0,0,2
CHIAPAS,MARQUES DE COMILLAS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.5454545454545454,0.8907235428302467,3.0,0.0,10.436178088284791,0.054545454545454584,0.3333333333333333,3.0,3,1
CHIAPAS,MAZAPA DE MADERO,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.7272727272727273,0.616575453011388,2.0,0.0,11.343848180284114,0.05454545454545457,1.3333333333333333,1.5,3,1
CHIAPAS,MAZATAN,13.0,17.0,38.0,31.0,12.0,5.0,15.0,8.0,0.0,0.0,3.0,12.909090909090908,11.665446610743166,38.0,0.0,204.57453751983408,-2.5000000000000013,1.0,3.0,3,1
CHIAPAS,METAPA,2.0,1.0,3.0,3.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.7272727272727273,1.3545149477955762,4.0,0.0,26.081787675068302,-0.25454545454545463,0.0,0.0,0,2
CHIAPAS,MEZCALAPA,0.0,0.0,0.0,3.0,1.0,11.0,16.0,13.0,9.0,21.0,1.0,6.818181818181818,7.183544096413969,21.0,0.0,110.00172591459578,1.3727272727272735,10.333333333333334,0.0967741935483871,0,2
